"id","listing_url","last_scraped","host_id","host_name","host_since","host_location","neighbourhood","neighbourhood_cleansed","zipcode","property_type","room_type","accommodates","bathrooms","bedrooms","beds","price","number_of_reviews","review_scores_rating","cancellation_policy","amenities"
5622963,"https://www.airbnb.com/rooms/5622963","2016-07-04",29103210,"Emma","2015-03-10","Paris, Île-de-France, France","Buttes-Chaumont - Belleville","Buttes-Chaumont","75019","House","Entire home/apt",2,1,1,1,80,5,100,"flexible","Internet|Wireless Internet|Kitchen|Heating|Washer|Smoke Detector|Carbon Monoxide Detector|Essentials|Shampoo|24-Hour Check-in|Hangers|Hair Dryer|Iron|Laptop Friendly Workspace"
2214259,"https://www.airbnb.com/rooms/2214259","2016-07-04",11294225,"Natacha Et Charles","2014-01-14","Paris, Île-de-France, France","Buttes-Chaumont - Belleville","Buttes-Chaumont","75019","House","Entire home/apt",6,2,4,4,210,2,100,"moderate","Cable TV|Internet|Wireless Internet|Kitchen|Free Parking on Premises|Smoking Allowed|Heating|Family/Kid Friendly|Washer|Dryer|Smoke Detector|Carbon Monoxide Detector|Essentials|Shampoo|Hangers|Hair Dryer|Iron|Laptop Friendly Workspace"
5359151,"https://www.airbnb.com/rooms/5359151","2016-07-04",27781105,"Christophe & Laurence","2015-02-15","Paris, Île-de-France, France","La Villette","Buttes-Chaumont","75019","House","Entire home/apt",4,2,2,2,130,0,NA,"strict","Cable TV|Wireless Internet|Kitchen|Buzzer/Wireless Intercom|Heating|Family/Kid Friendly|Washer|Dryer|Smoke Detector|Carbon Monoxide Detector|Safety Card|Fire Extinguisher|Essentials|Shampoo"
2954203,"https://www.airbnb.com/rooms/2954203","2016-07-04",6073525,"Alexis & Stéphanie","2013-04-24","Paris, Île-de-France, France","Buttes-Chaumont - Belleville","Buttes-Chaumont","75019","House","Entire home/apt",4,1,2,2,80,0,NA,"strict","TV|Internet|Wireless Internet|Kitchen|Heating|Family/Kid Friendly|Washer|Smoke Detector"
7554457,"https://www.airbnb.com/rooms/7554457","2016-07-04",8715260,"Antoine","2013-09-08","Paris, Île-de-France, France","Buttes-Chaumont - Belleville","Buttes-Chaumont","75019","House","Entire home/apt",4,1,1,2,100,2,90,"strict","Internet|Wireless Internet|Kitchen|Breakfast|Heating|Family/Kid Friendly|Washer|Dryer|Essentials|Shampoo|Hangers|Hair Dryer|Iron|Laptop Friendly Workspace"
9149417,"https://www.airbnb.com/rooms/9149417","2016-07-04",47633106,"Willy  & Claudine","2015-10-28","Paris, Île-de-France, France","Buttes-Chaumont - Belleville","Buttes-Chaumont","75019","House","Entire home/apt",6,3,3,3,251,8,98,"flexible","TV|Internet|Wireless Internet|Kitchen|Heating|Washer|Smoke Detector|First Aid Kit|Safety Card|Fire Extinguisher|Essentials|Shampoo|Hangers|Hair Dryer|Iron|Laptop Friendly Workspace|translation missing: en.hosting_amenity_49|translation missing: en.hosting_amenity_50"
7049987,"https://www.airbnb.com/rooms/7049987","2016-07-04",27790894,"Amandine","2015-02-15","Paris, Île-de-France, France","Buttes-Chaumont - Belleville","Buttes-Chaumont","75019","Townhouse","Entire home/apt",4,1,1,1,90,3,100,"strict","Internet|Wireless Internet|Kitchen|Smoking Allowed|Pets live on this property|Buzzer/Wireless Intercom|Heating|Family/Kid Friendly|Suitable for Events|Washer|Essentials|Iron"
9406169,"https://www.airbnb.com/rooms/9406169","2016-07-04",46854593,"Myung","2015-10-18","Paris, Île-de-France, France","Buttes-Chaumont - Belleville","Buttes-Chaumont","75019","House","Entire home/apt",16,2,4,16,220,1,80,"strict","Internet|Wireless Internet|Kitchen|Free Parking on Premises|Smoking Allowed|Buzzer/Wireless Intercom|Heating|Family/Kid Friendly|Smoke Detector|Essentials|Shampoo|24-Hour Check-in|Hangers|Hair Dryer|Iron"
229351,"https://www.airbnb.com/rooms/229351","2016-07-04",1033854,"Assia","2011-08-29","Paris, Île-de-France, France","La Villette","Buttes-Chaumont","75019","House","Entire home/apt",4,1,2,3,90,5,93,"strict","Internet|Wireless Internet|Kitchen|Smoking Allowed|Pets Allowed|Heating|Family/Kid Friendly|Washer"
13729491,"https://www.airbnb.com/rooms/13729491","2016-07-04",53044604,"Rebecca","2016-01-02","Paris, Île-de-France, France","","Buttes-Chaumont","75019","House","Entire home/apt",2,1,1,1,80,0,NA,"flexible",""
